iter	RMSE
0	55.8943796
1	50.08777885
2	44.96675846
3	40.36355878
4	36.3556626
5	32.72909797
6	29.53715727
7	26.62168465
8	24.08608397
9	21.80219159
10	19.79874763
11	18.03512879
12	16.41871454
13	14.9941378
14	13.73076356
15	12.62718036
16	11.63968911
17	10.76023686
18	9.980248437
19	9.295918721
20	8.677950844
21	8.15979761
22	7.692874152
23	7.284267782
24	6.915621749
25	6.595834461
26	6.303502424
27	6.055471543
28	5.838222241
29	5.653955761
30	5.488931042
31	5.344512067
32	5.221295441
33	5.113392166
34	4.995074129
35	4.899298894
36	4.807167152
37	4.728734597
38	4.667504106
39	4.600222938
40	4.544703957
41	4.50365347
42	4.454404332
43	4.417760473
44	4.387497031
45	4.356153895
46	4.327527676
47	4.30332815
48	4.276763984
49	4.255126314
50	4.238477907
51	4.213320112
52	4.191953161
53	4.177079248
54	4.1655789
55	4.142343862
56	4.128036941
57	4.114699337
58	4.099068597
59	4.082917746
60	4.070000692
61	4.05605101
62	4.045713471
63	4.037350499
64	4.026587546
65	4.016523226
66	4.00464501
67	3.990820827
68	3.983023988
69	3.972063258
70	3.96477142
71	3.957283588
72	3.94625228
73	3.939931108
74	3.933872257
75	3.926662703
76	3.92102881
77	3.912601562
78	3.903950996
79	3.89756496
80	3.887534834
81	3.880775734
82	3.874215354
83	3.866012052
84	3.85798378
85	3.852812577
86	3.847689091
87	3.842289441
88	3.83524126
89	3.828854031
90	3.820596094
91	3.815912768
92	3.811617101
93	3.804168398
94	3.800279098
95	3.793933994
96	3.788665566
97	3.782966405
98	3.778941582
99	3.774656998
100	3.771216592
101	3.767358966
102	3.76412628
103	3.760732398
104	3.756094633
105	3.753644151
106	3.749211845
107	3.746202529
108	3.743658049
109	3.740022078
110	3.737401719
111	3.733712443
112	3.731460243
113	3.725877257
114	3.722606977
115	3.719637046
116	3.717418941
117	3.715222804
118	3.711604868
119	3.710256179
120	3.707420245
121	3.703953445
122	3.701338583
123	3.69939547
124	3.696210246
125	3.692586362
126	3.689682537
127	3.686965079
128	3.685269275
129	3.683046415
130	3.680805948
131	3.678650056
132	3.676960993
133	3.674790225
134	3.671326379
135	3.669265117
136	3.667463069
137	3.665366834
138	3.663988269
139	3.662479506
140	3.660407866
141	3.658538442
142	3.657071036
143	3.655329618
144	3.652975279
145	3.65194826
146	3.649804203
147	3.648045422
148	3.645619782
149	3.643624815
150	3.64191559
151	3.640213578
152	3.637379201
153	3.63570059
154	3.633380145
155	3.63194738
156	3.630499436
157	3.628980345
158	3.627633954
159	3.626296
160	3.624679979
161	3.624108539
162	3.622593959
163	3.620616617
164	3.619090182
165	3.617237279
166	3.615161637
167	3.613603368
168	3.611695018
169	3.610489815
170	3.609369659
171	3.607858756
172	3.606691967
173	3.605463956
174	3.604373927
175	3.603895839
176	3.602388665
177	3.60087856
178	3.599770501
179	3.598382093
180	3.597534194
181	3.595775668
182	3.594273672
183	3.59283936
184	3.591443718
185	3.590442912
186	3.589407727
187	3.588256394
188	3.586695905
189	3.585685211
190	3.584014442
191	3.583216522
192	3.582048409
193	3.581039871
194	3.580565895
195	3.57933007
196	3.578744054
197	3.577582704
198	3.576707776
199	3.575628628
200	3.574629841
201	3.573422798
202	3.572477097
203	3.571164185
204	3.570054407
205	3.569143769
206	3.567897237
207	3.567213182
208	3.566717306
209	3.565500829
210	3.56453537
211	3.56361455
212	3.5623706
213	3.561779307
214	3.560891877
215	3.559639519
216	3.558822373
217	3.558066869
218	3.556938408
219	3.556028484
220	3.555389293
221	3.554405828
222	3.553430129
223	3.55259361
224	3.551699775
225	3.551196892
226	3.550823968
227	3.549887168
228	3.54856083
229	3.54766587
230	3.546977998
231	3.546128927
232	3.545650671
233	3.544123495
234	3.543406067
235	3.542587305
236	3.541561855
237	3.540815663
238	3.540328221
239	3.539624428
240	3.538071356
241	3.537439912
242	3.536669549
243	3.536036929
244	3.535148802
245	3.534338392
246	3.533947751
247	3.533564081
248	3.532316839
