iter	Passed	Remaining
0	150	150207
1	226	112894
2	314	104409
3	436	108624
4	503	100156
5	570	94544
6	637	90477
7	706	87578
8	769	84772
9	851	84315
10	917	82467
11	982	80915
12	1052	79892
13	1117	78718
14	1181	77556
15	1251	76980
16	1315	76062
17	1388	75756
18	1454	75119
19	1520	74516
20	1581	73742
21	1644	73117
22	1706	72474
23	1770	72004
24	1833	71520
25	1897	71092
26	1960	70649
27	2028	70412
28	2086	69861
29	2144	69352
30	2204	68899
31	2267	68592
32	2325	68158
33	2383	67726
34	2448	67519
35	2511	67254
36	2573	66977
37	2634	66702
38	2695	66414
39	2765	66371
40	2826	66122
41	2882	65749
42	2947	65592
43	3005	65310
44	3061	64981
45	3123	64782
46	3189	64679
47	3250	64458
48	3308	64211
49	3371	64056
50	3423	63711
51	3491	63655
52	3552	63473
53	3613	63295
54	3667	63020
55	3736	62978
56	3793	62766
57	3857	62657
58	3925	62603
59	3986	62448
60	4050	62348
61	4113	62232
62	4177	62124
63	4233	61916
64	4290	61716
65	4357	61666
66	4419	61548
67	4485	61481
68	4539	61254
69	4604	61178
70	4666	61057
71	4726	60923
72	4792	60857
73	4850	60692
74	4906	60513
75	4968	60409
76	5024	60234
77	5092	60197
78	5163	60193
79	5224	60083
80	5285	59969
81	5352	59917
82	5415	59828
83	5485	59813
84	5547	59720
85	5610	59622
86	5672	59529
87	5744	59537
88	5810	59479
89	5871	59372
90	5932	59255
91	5991	59132
92	6050	59009
93	6118	58969
94	6180	58875
95	6253	58885
96	6309	58740
97	6380	58723
98	6448	58686
99	6507	58570
100	6572	58501
101	6676	58777
102	6811	59317
103	6917	59600
104	6982	59515
105	7036	59341
106	7107	59315
107	7168	59206
108	7226	59070
109	7282	58922
110	7342	58806
111	7402	58692
112	7464	58593
113	7532	58538
114	7605	58531
115	7669	58448
116	7728	58328
117	7787	58209
118	7862	58205
119	7914	58043
120	7977	57950
121	8040	57868
122	8108	57811
123	8165	57685
124	8229	57606
125	8288	57495
126	8354	57429
127	8421	57374
128	8481	57266
129	8540	57157
130	8602	57063
131	8657	56932
132	8716	56821
133	8774	56709
134	8842	56659
135	8906	56584
136	8971	56511
137	9039	56464
138	9093	56324
139	9152	56223
140	9226	56208
141	9308	56245
142	9367	56141
143	9424	56021
144	9494	55983
145	9549	55855
146	9615	55798
147	9686	55762
148	9749	55685
149	9806	55568
150	9880	55551
151	9938	55448
152	10000	55364
153	10062	55279
154	10132	55236
155	10188	55121
156	10245	55012
157	10301	54898
158	10366	54831
159	10426	54739
160	10487	54650
161	10536	54505
162	10625	54560
163	10699	54542
164	10768	54494
165	10831	54418
166	10895	54348
167	10956	54262
168	11025	54216
169	11087	54133
170	11144	54027
171	11208	53958
172	11271	53880
173	11338	53826
174	11395	53722
175	11448	53599
176	11518	53558
177	11589	53522
178	11651	53441
179	11713	53362
180	11777	53289
181	11846	53246
182	11936	53292
183	12020	53307
184	12078	53211
185	12137	53116
186	12200	53043
187	12258	52945
188	12325	52889
189	12382	52786
190	12448	52726
191	12517	52677
192	12587	52631
193	12656	52583
194	12708	52462
195	12773	52397
196	12832	52307
197	12900	52252
198	12960	52168
199	13029	52116
200	13091	52041
201	13163	52001
202	13241	51987
203	13306	51921
204	13371	51856
205	13436	51788
206	13499	51714
207	13562	51641
208	13613	51522
209	13677	51452
210	13744	51395
211	13819	51365
212	13903	51372
213	13961	51278
214	14028	51220
215	14097	51167
216	14156	51080
217	14218	51004
218	14278	50920
219	14346	50866
220	14411	50797
221	14474	50727
222	14543	50675
223	14607	50603
224	14678	50557
225	14747	50506
226	14799	50398
227	14864	50329
228	14934	50281
229	14994	50199
230	15047	50093
231	15106	50007
232	15171	49942
233	15242	49896
234	15305	49825
235	15367	49747
236	15442	49715
237	15504	49641
238	15568	49572
239	15627	49487
240	15692	49422
241	15745	49317
242	15812	49259
243	15871	49177
244	15968	49207
245	16091	49321
246	16185	49343
247	16263	49316
248	16332	49259
249	16396	49190
250	16463	49128
251	16527	49058
252	16593	48994
253	16657	48923
254	16722	48856
255	16790	48796
256	16844	48697
257	16906	48623
258	16970	48551
259	17039	48496
260	17109	48444
261	17169	48362
262	17242	48318
263	17307	48251
264	17369	48174
265	17429	48094
266	17482	47994
267	17547	47927
268	17621	47886
269	17688	47823
270	17747	47741
271	17816	47684
272	17874	47599
273	17946	47552
274	18014	47493
275	18071	47405
276	18126	47313
277	18195	47254
278	18250	47163
279	18311	47086
280	18376	47020
281	18435	46938
282	18489	46845
283	18549	46764
284	18614	46700
285	18677	46628
286	18743	46564
287	18803	46486
288	18859	46398
289	18934	46356
290	18993	46276
291	19050	46190
292	19112	46117
293	19189	46080
294	19256	46020
295	19324	45960
296	19391	45899
297	19458	45838
298	19510	45740
299	19565	45652
300	19628	45583
301	19696	45524
302	19758	45452
303	19821	45381
304	19882	45305
305	19946	45237
306	20014	45179
307	20085	45127
308	20152	45066
309	20215	44995
310	20276	44920
311	20337	44846
312	20398	44773
313	20452	44682
314	20517	44618
